Date,Rainfall_mm,Month,Year,Rain_3day,Rain_7day,Is_Rain,Rain_Streak
2005-01-01,4.9057,1,2005,,,False,0
2005-01-02,0.0,1,2005,,,False,0
2005-01-03,9.8113,1,2005,14.716999999999999,,True,1
2005-01-04,14.717,1,2005,24.5283,,True,2
2005-01-05,14.717,1,2005,39.2453,,True,3
2005-01-06,10.2976,1,2005,39.7316,,True,4
2005-01-07,15.4464,1,2005,40.461,69.895,True,5
2005-01-08,10.2976,1,2005,36.0416,75.2869,True,6
2005-01-09,10.2976,1,2005,36.0416,85.5845,True,7
2005-01-10,5.1488,1,2005,25.744,80.922,True,8
2005-01-11,0.0,1,2005,15.446399999999999,66.205,False,0
2005-01-12,13.9833,1,2005,19.1321,65.4713,True,1
2005-01-13,0.0,1,2005,13.9833,55.1737,False,0
2005-01-14,13.9833,1,2005,27.9666,53.7106,True,1
2005-01-15,27.9666,1,2005,41.9499,71.3796,True,2
2005-01-16,35.5316,1,2005,77.4815,96.61359999999999,True,3
2005-01-17,17.7658,1,2005,81.264,109.2306,True,4
2005-01-18,44.4145,1,2005,97.71189999999999,153.64509999999999,True,5
2005-01-19,8.8829,1,2005,71.0632,148.54469999999998,True,6
2005-01-20,8.8829,1,2005,62.180299999999995,157.42759999999998,True,7
2005-01-21,24.3146,1,2005,42.0804,167.75889999999998,True,8
2005-01-22,24.3146,1,2005,57.5121,164.1069,True,9
2005-01-23,0.0,1,2005,48.6292,128.5753,False,0
2005-01-24,0.0,1,2005,24.3146,110.80949999999999,False,0
2005-01-25,0.0,1,2005,0.0,66.39499999999998,False,0
2005-01-26,0.0,1,2005,0.0,57.5121,False,0
2005-01-27,17.4097,1,2005,17.4097,66.0389,True,1
2005-01-28,17.4097,1,2005,34.8194,59.134,True,2
2005-01-29,26.1145,1,2005,60.9339,60.9339,True,3
2005-01-30,8.7048,1,2005,52.229,69.6387,True,4
2005-01-31,17.4097,1,2005,52.229,87.0484,True,5
2005-02-01,7.0459,2,2005,33.160399999999996,94.0943,True,6
2005-02-02,14.0918,2,2005,38.547399999999996,108.1861,True,7
2005-02-03,14.0918,2,2005,35.2295,104.8682,True,8
2005-02-04,7.0459,2,2005,35.2295,94.5044,True,9
2005-02-05,28.1837,2,2005,49.3214,96.5736,True,10
2005-02-06,24.4527,2,2005,59.6823,112.3215,True,11
2005-02-07,16.3018,2,2005,68.9382,111.2136,True,12
2005-02-08,8.1509,2,2005,48.9054,112.3186,True,13
2005-02-09,16.3018,2,2005,40.7545,114.52860000000001,True,14
2005-02-10,32.6036,2,2005,57.0563,133.0404,True,15
2005-02-11,19.5726,2,2005,68.47800000000001,145.5671,True,16
2005-02-12,19.5726,2,2005,71.7488,136.956,True,17
2005-02-13,19.5726,2,2005,58.717800000000004,132.0759,True,18
2005-02-14,0.0,2,2005,39.1452,115.7741,False,0
2005-02-15,19.5726,2,2005,39.1452,127.19579999999999,True,1
2005-02-16,10.3657,2,2005,29.9383,121.25970000000001,True,2
2005-02-17,5.1829,2,2005,35.1212,93.83900000000001,True,3
2005-02-18,20.7315,2,2005,36.280100000000004,94.9979,True,4
2005-02-19,15.5486,2,2005,41.463,90.9739,True,5
2005-02-20,25.9143,2,2005,62.1944,97.3156,True,6
2005-02-21,28.4297,2,2005,69.8926,125.7453,True,7
2005-02-22,0.0,2,2005,54.344,106.17269999999999,False,0
2005-02-23,28.4297,2,2005,56.8594,124.23670000000001,True,1
2005-02-24,28.4297,2,2005,56.8594,147.4835,True,2
2005-02-25,28.4297,2,2005,85.2891,155.1817,True,3
2005-02-26,21.1726,2,2005,78.03200000000001,160.8057,True,4
2005-02-27,14.1151,2,2005,63.7174,149.0065,True,5
2005-02-28,7.0575,2,2005,42.345200000000006,127.63430000000001,True,6
2005-03-01,9.1239,3,2005,30.2965,136.75820000000002,True,7
2005-03-02,9.1239,3,2005,25.305300000000003,117.45240000000001,True,8
2005-03-03,45.6194,3,2005,63.8672,134.6421,True,9
2005-03-04,20.8546,3,2005,75.5979,127.06700000000001,True,10
2005-03-05,27.3716,3,2005,93.8456,133.266,True,11
2005-03-06,12.2297,3,2005,60.45589999999999,131.38060000000002,True,12
2005-03-07,12.2297,3,2005,51.830999999999996,136.5528,True,13
2005-03-08,24.4594,3,2005,48.91879999999999,151.88830000000002,True,14
2005-03-09,0.0,3,2005,36.68909999999999,142.76440000000002,False,0
2005-03-10,0.0,3,2005,24.45939999999999,97.145,False,0
2005-03-11,0.0,3,2005,0.0,76.29039999999999,False,0
2005-03-12,0.0,3,2005,0.0,48.91879999999999,False,0
2005-03-13,0.0,3,2005,0.0,36.689099999999996,False,0
2005-03-14,11.6339,3,2005,11.633899999999993,36.0933,True,1
2005-03-15,0.0,3,2005,11.633899999999993,11.6339,False,0
2005-03-16,3.1814,3,2005,14.815299999999993,14.8153,False,0
2005-03-17,6.3627,3,2005,9.544099999999993,21.178,True,1
2005-03-18,6.3627,3,2005,15.906799999999993,27.5407,True,2
2005-03-19,15.9069,3,2005,28.632299999999994,43.4476,True,3
2005-03-20,9.5441,3,2005,31.813699999999994,52.9917,True,4
2005-03-21,17.8159,3,2005,43.26689999999999,59.1737,True,5
2005-03-22,17.8159,3,2005,45.17589999999999,76.9896,True,6
2005-03-23,17.8159,3,2005,53.4477,91.6241,True,7
2005-03-24,17.8159,3,2005,53.4477,103.0773,True,8
2005-03-25,17.8159,3,2005,53.4477,114.53049999999999,True,9
2005-03-26,0.0,3,2005,35.63179999999999,98.6236,False,0
2005-03-27,24.0324,3,2005,41.848299999999995,113.11189999999999,True,1
2005-03-28,9.613,3,2005,33.645399999999995,104.90899999999999,True,2
2005-03-29,19.226,3,2005,52.871399999999994,106.31909999999999,True,3
2005-03-30,14.4195,3,2005,43.25849999999999,102.92269999999999,True,4
2005-03-31,9.613,3,2005,43.25849999999999,94.71979999999999,True,5
2005-04-01,19.5379,4,2005,43.57039999999999,96.4418,True,6
2005-04-02,9.7689,4,2005,38.919799999999995,106.2107,True,7
2005-04-03,9.7689,4,2005,39.0757,91.94720000000001,True,8
2005-04-04,9.7689,4,2005,29.3067,92.1031,True,9
2005-04-05,9.7689,4,2005,29.3067,82.646,True,10
2005-04-06,0.0,4,2005,19.537799999999994,68.2265,False,0
2005-04-07,18.5609,4,2005,28.32979999999999,77.1744,True,1
2005-04-08,0.0,4,2005,18.560899999999993,57.6365,False,0
2005-04-09,0.0,4,2005,18.560899999999997,47.8676,False,0
2005-04-10,12.3739,4,2005,12.373899999999994,50.4726,True,1
2005-04-11,15.6292,4,2005,28.003099999999996,56.3329,True,2
2005-04-12,7.8146,4,2005,35.817699999999995,54.378600000000006,True,3
2005-04-13,7.8146,4,2005,31.258399999999995,62.193200000000004,True,4
2005-04-14,7.8146,4,2005,23.443800000000003,51.4469,True,5
2005-04-15,7.8146,4,2005,23.443800000000003,59.261500000000005,True,6
2005-04-16,10.6603,4,2005,26.289499999999993,69.9218,True,7
2005-04-17,10.6603,4,2005,29.13519999999999,68.2082,True,8
2005-04-18,12.1833,4,2005,33.50389999999999,64.7623,True,9
2005-04-19,24.3665,4,2005,47.21009999999999,81.3142,True,10
2005-04-20,21.3207,4,2005,57.87049999999999,94.8203,True,11
2005-04-21,32.4339,4,2005,78.12109999999998,119.4396,True,12
2005-04-22,10.8113,4,2005,64.56589999999998,122.4363,True,13
2005-04-23,10.8113,4,2005,54.056499999999986,122.5873,True,14
2005-04-24,10.8113,4,2005,32.433899999999994,122.7383,True,15
2005-04-25,10.8113,4,2005,32.433899999999994,121.3663,True,16
2005-04-26,10.99,4,2005,32.61259999999999,107.98979999999999,True,17
2005-04-27,5.495,4,2005,27.29629999999999,92.16409999999999,True,18
2005-04-28,5.495,4,2005,21.979999999999993,65.2252,True,19
2005-04-29,0.0,4,2005,10.989999999999993,54.4139,False,0
2005-04-30,5.495,4,2005,10.989999999999993,49.0976,True,1
